Type	Linguistic Concept	Abbreviation	What does it mean?
0	Noun	N	noun
1	Augmentative	AUG	big
1	Diminutive	DIM	small
2	Plural number	PL	more than one
2	Scattered about		derogatory or taboo
4	Pejorative		
4	Plural first person possessor		
4	Plural second person possessor		
4	Plural third person possessor		
4	Singular first person possessor		
4	Singular second person possessor		
4	Singular third person possessor		
5	Ablative case		
5	Benefactive case		
5	Instrumental case		
5	Locative case		
5	Topical case		
